instance_name,dataset,num_constraints,greedy_weight,exact_weight,approximation_ratio,greedy_runtime_sec,exact_runtime_sec,exact_success,exact_error,failure_2x,greedy_cardinality,exact_cardinality,greedy_iterations,num_discovered_muses,avg_discovered_mus_size,max_discovered_mus_size,conflict_density,overlap_measure,weight_min,weight_max,weight_mean,weight_variance,target_size,seed,num_conflicting_types,max_depth
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.031869292026385665,0.008786958060227334,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.9,0.6899999999999998,10,0,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0018372080521658063,0.0026427499251440167,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,2.0,0.4,10,1,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0014504999853670597,0.002386000007390976,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.6,0.44000000000000006,10,2,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0015743750846013427,0.0024646660313010216,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,2.0,0.4,10,3,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013741670409217477,0.002261459012515843,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,2.0,1.6,0.24000000000000005,10,4,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013752080267295241,0.0023230420192703605,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.7,0.41,10,5,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0014221249148249626,0.002336750039830804,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,2.0,0.4,10,6,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0012492919340729713,0.0022179579827934504,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.5,0.65,10,7,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.00135404197499156,0.002273332909680903,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.9,0.49000000000000005,10,8,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.001371209044009447,0.002327083027921617,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.9,0.48999999999999994,10,9,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013527499977499247,0.002310666022822261,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.9,0.49000000000000005,10,10,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013423750642687082,0.00238191697280854,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,2.0,0.4,10,11,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0014701250474900007,0.002304749912582338,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.7,0.40999999999999986,10,12,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0012854160740971565,0.0021054999670013785,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,2.0,1.8,0.16000000000000006,10,13,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0014132910873740911,0.002329541021026671,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.8,0.36000000000000004,10,14,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013444579672068357,0.0022729169577360153,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.8,0.56,10,15,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0014125000452622771,0.002396250027231872,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.9,0.4899999999999999,10,16,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013832909753546119,0.0025050839176401496,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.9,0.48999999999999994,10,17,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.001511208014562726,0.0022986249532550573,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,2.0,0.6,10,18,,
dataset_a_single_conflict,A,10,1.0,1.0,1.0,0.0013633329654112458,0.0023538749665021896,True,,False,1,1.0,1,1,2.0,2,0.1,0.0,1.0,3.0,1.7,0.41,10,19,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0024056659312918782,0.003872250090353191,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.6,20,0,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0022923339856788516,0.0038389998953789473,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.3,20,1,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.002284665941260755,0.0038092080503702164,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.6,20,2,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.002286250004544854,0.003817667020484805,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.5,20,3,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0022104589734226465,0.0037499580066651106,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.8,0.36000000000000004,20,4,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0022049170220270753,0.003914374974556267,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.95,0.4475000000000001,20,5,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0022606250131502748,0.0038030410651117563,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.95,0.3475000000000002,20,6,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.002004459034651518,0.003542124992236495,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.6,0.4400000000000001,20,7,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0023302079644054174,0.0038237919798120856,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.95,0.44750000000000006,20,8,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0024322080425918102,0.004037249949760735,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.4,20,9,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.00232662505004555,0.0038544998969882727,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.1,0.49000000000000005,20,10,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0022290420019999146,0.0038002498913556337,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.4,20,11,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0021503750467672944,0.0036884170258417726,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.9,0.38999999999999985,20,12,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0023359580663964152,0.0038930000737309456,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.05,0.3475,20,13,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.002423624973744154,0.003992500016465783,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.95,0.44750000000000006,20,14,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0023478330112993717,0.0038639999693259597,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.5,20,15,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.0023172079818323255,0.0038116249488666654,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.9,0.48999999999999994,20,16,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.002329458948224783,0.003852875088341534,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.4,20,17,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.00224520789925009,0.0037535410374403,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,2.0,0.4,20,18,,
dataset_a_single_conflict,A,20,1.0,1.0,1.0,0.002258958062157035,0.0037538749165832996,True,,False,1,1.0,1,1,2.0,2,0.05,0.0,1.0,3.0,1.95,0.44750000000000006,20,19,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005416708067059517,0.00833770795725286,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.92,0.4735999999999995,50,0,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005344333010725677,0.008461416000500321,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.08,0.3535999999999997,50,1,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005045915953814983,0.008069082978181541,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.9,0.49000000000000016,50,2,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005361874937079847,0.008317500003613532,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.02,0.49959999999999993,50,3,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005182875087484717,0.008293666993267834,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.9,0.29,50,4,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005089792073704302,0.008238458074629307,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.9,0.41000000000000014,50,5,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005416541011072695,0.008452999987639487,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.14,0.48039999999999994,50,6,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.00486104201991111,0.00806075008586049,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.86,0.4804000000000002,50,7,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005450833006761968,0.008467958075925708,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.1,0.4100000000000001,50,8,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005075000110082328,0.008153749979101121,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.94,0.4164,50,9,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.0054937920067459345,0.009322916972450912,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.12,0.4655999999999999,50,10,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005569708999246359,0.0085248330142349,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.02,0.4196000000000001,50,11,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005322291981428862,0.008322542067617178,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.96,0.3984,50,12,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.0055206670658662915,0.008533917018212378,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.04,0.31839999999999985,50,13,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005566290928982198,0.00854375003837049,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.06,0.5763999999999999,50,14,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005413874983787537,0.00842825009021908,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.98,0.5395999999999997,50,15,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005238166078925133,0.008255707914941013,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,1.94,0.4163999999999999,50,16,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.0054365829564630985,0.008424833999015391,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.04,0.39840000000000003,50,17,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005399208981543779,0.008279957924969494,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.12,0.4655999999999998,50,18,,
dataset_a_single_conflict,A,50,1.0,1.0,1.0,0.005370541010051966,0.008413958945311606,True,,False,1,1.0,1,1,2.0,2,0.02,0.0,1.0,3.0,2.06,0.4563999999999997,50,19,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.01174587500281632,0.015828083036467433,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.97,0.4691,100,0,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011129750055260956,0.016346583957783878,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.02,0.3795999999999995,100,1,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.010906666982918978,0.015669082989916205,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.91,0.4618999999999993,100,2,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011231666896492243,0.01606583292596042,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.99,0.4899000000000005,100,3,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.010885916068218648,0.015798875014297664,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.97,0.3691000000000002,100,4,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011186000076122582,0.016021542018279433,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.05,0.38750000000000007,100,5,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011345374980010092,0.01607987505849451,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.06,0.4764000000000001,100,6,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.010492917033843696,0.015643500024452806,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.93,0.4850999999999994,100,7,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011303708073683083,0.016094624996185303,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.12,0.4256000000000001,100,8,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.010492666973732412,0.015561375068500638,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.9,0.41000000000000036,100,9,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011579749989323318,0.01624000002630055,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.11,0.43789999999999935,100,10,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.010898499982431531,0.01577212498523295,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.97,0.4491000000000001,100,11,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011078041978180408,0.015977459028363228,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.04,0.39840000000000036,100,12,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011492416029796004,0.01619100000243634,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.02,0.37959999999999966,100,13,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011160249938257039,0.015893541974946856,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.99,0.5899000000000004,100,14,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011513457982800901,0.016231791931204498,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.09,0.5418999999999994,100,15,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.010672750067897141,0.01569516700692475,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,1.94,0.3963999999999997,100,16,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011271250084973872,0.016023042029701173,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.0,0.34,100,17,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011110250023193657,0.015964917023666203,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.07,0.4650999999999994,100,18,,
dataset_a_single_conflict,A,100,1.0,1.0,1.0,0.011224500020034611,0.016074666986241937,True,,False,1,1.0,1,1,2.0,2,0.01,0.0,1.0,3.0,2.06,0.39639999999999964,100,19,,
dataset_a_single_conflict,A,200,1.0,1.0,1.0,0.02578749996609986,0.031261791940778494,True,,False,1,1.0,1,1,2.0,2,0.005,0.0,1.0,3.0,2.015,0.44477500000000025,200,0,,
