analysis_type,dataset,target,feature,method,value,note
correlation,B,exact_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,B,exact_runtime_sec,weight_mean,pearson,-0.46690952970431354,
correlation,B,exact_runtime_sec,weight_mean,spearman,-0.4851414012943472,
correlation,B,exact_runtime_sec,weight_variance,pearson,-0.6020515145389834,
correlation,B,exact_runtime_sec,weight_variance,spearman,-0.7946767562809202,
correlation,B,num_discovered_muses,num_constraints,pearson,,
correlation,B,num_discovered_muses,num_constraints,spearman,,
correlation,B,num_discovered_muses,conflict_density,pearson,,
correlation,B,num_discovered_muses,conflict_density,spearman,,
correlation,B,num_discovered_muses,overlap_measure,pearson,,
correlation,B,num_discovered_muses,overlap_measure,spearman,,
correlation,B,num_discovered_muses,avg_discovered_mus_size,pearson,,
correlation,B,num_discovered_muses,avg_discovered_mus_size,spearman,,
correlation,B,num_discovered_muses,weight_mean,pearson,,
correlation,B,num_discovered_muses,weight_mean,spearman,,
correlation,B,num_discovered_muses,weight_variance,pearson,,
correlation,B,num_discovered_muses,weight_variance,spearman,,
correlation,B,greedy_iterations,num_constraints,pearson,,
correlation,B,greedy_iterations,num_constraints,spearman,,
correlation,B,greedy_iterations,conflict_density,pearson,,
correlation,B,greedy_iterations,conflict_density,spearman,,
correlation,B,greedy_iterations,overlap_measure,pearson,,
correlation,B,greedy_iterations,overlap_measure,spearman,,
correlation,B,greedy_iterations,avg_discovered_mus_size,pearson,,
correlation,B,greedy_iterations,avg_discovered_mus_size,spearman,,
correlation,B,greedy_iterations,weight_mean,pearson,,
correlation,B,greedy_iterations,weight_mean,spearman,,
correlation,B,greedy_iterations,weight_variance,pearson,,
correlation,B,greedy_iterations,weight_variance,spearman,,
correlation,B,weight_variance,num_constraints,pearson,-0.6016451896635808,
correlation,B,weight_variance,num_constraints,spearman,-0.8014988603588704,
correlation,B,weight_variance,conflict_density,pearson,0.803691109936424,
correlation,B,weight_variance,conflict_density,spearman,0.8014988603588704,
correlation,B,weight_variance,overlap_measure,pearson,,
correlation,B,weight_variance,overlap_measure,spearman,,
correlation,B,weight_variance,avg_discovered_mus_size,pearson,,
correlation,B,weight_variance,avg_discovered_mus_size,spearman,,
correlation,B,weight_variance,weight_mean,pearson,0.3174928616212849,
correlation,B,weight_variance,weight_mean,spearman,0.44808805024157,
log_log_slope,B,greedy_runtime_sec,num_constraints,log-log linear fit,0.9203338976894637,Slope of log runtime against log number of constraints.
log_log_slope,B,exact_runtime_sec,num_constraints,log-log linear fit,0.8073342836216252,Slope of log runtime against log number of constraints.
log_log_slope,B,num_discovered_muses,num_constraints,log-log linear fit,5.000827258645331e-16,Slope of log structural count against log number of constraints.
log_log_slope,B,greedy_iterations,num_constraints,log-log linear fit,5.000827258645331e-16,Slope of log structural count against log number of constraints.
constant_ratio_check,B,approximation_ratio,all_features,variance check,0.0,"Approximation ratio has zero variance, so ratio correlations are not meaningful."
correlation,C,greedy_runtime_sec,num_constraints,pearson,0.9925379383447025,
correlation,C,greedy_runtime_sec,num_constraints,spearman,0.9798448905826677,
correlation,C,greedy_runtime_sec,conflict_density,pearson,-0.6824034655137788,
correlation,C,greedy_runtime_sec,conflict_density,spearman,-0.9798448905826677,
correlation,C,greedy_runtime_sec,overlap_measure,pearson,,
correlation,C,greedy_runtime_sec,overlap_measure,spearman,,
correlation,C,greedy_runtime_sec,avg_discovered_mus_size,pearson,,
correlation,C,greedy_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,C,greedy_runtime_sec,weight_mean,pearson,0.32662127161151655,
correlation,C,greedy_runtime_sec,weight_mean,spearman,0.5249293696367583,
correlation,C,greedy_runtime_sec,weight_variance,pearson,0.394547898713176,
correlation,C,greedy_runtime_sec,weight_variance,spearman,0.5592460578263051,
correlation,C,exact_runtime_sec,num_constraints,pearson,0.9968008692307809,
correlation,C,exact_runtime_sec,num_constraints,spearman,0.9798448905826677,
correlation,C,exact_runtime_sec,conflict_density,pearson,-0.7436148575622253,
correlation,C,exact_runtime_sec,conflict_density,spearman,-0.9798448905826677,
correlation,C,exact_runtime_sec,overlap_measure,pearson,,
correlation,C,exact_runtime_sec,overlap_measure,spearman,,
correlation,C,exact_runtime_sec,avg_discovered_mus_size,pearson,,
correlation,C,exact_runtime_sec,avg_discovered_mus_size,spearman,,
correlation,C,exact_runtime_sec,weight_mean,pearson,0.3466757987645016,
correlation,C,exact_runtime_sec,weight_mean,spearman,0.5114115916308513,
correlation,C,exact_runtime_sec,weight_variance,pearson,0.42256088978907447,
correlation,C,exact_runtime_sec,weight_variance,spearman,0.5462842950181628,
correlation,C,num_discovered_muses,num_constraints,pearson,,
correlation,C,num_discovered_muses,num_constraints,spearman,,
correlation,C,num_discovered_muses,conflict_density,pearson,,
correlation,C,num_discovered_muses,conflict_density,spearman,,
correlation,C,num_discovered_muses,overlap_measure,pearson,,
correlation,C,num_discovered_muses,overlap_measure,spearman,,
correlation,C,num_discovered_muses,avg_discovered_mus_size,pearson,,
correlation,C,num_discovered_muses,avg_discovered_mus_size,spearman,,
correlation,C,num_discovered_muses,weight_mean,pearson,,
correlation,C,num_discovered_muses,weight_mean,spearman,,
correlation,C,num_discovered_muses,weight_variance,pearson,,
correlation,C,num_discovered_muses,weight_variance,spearman,,
correlation,C,greedy_iterations,num_constraints,pearson,,
correlation,C,greedy_iterations,num_constraints,spearman,,
correlation,C,greedy_iterations,conflict_density,pearson,,
correlation,C,greedy_iterations,conflict_density,spearman,,
correlation,C,greedy_iterations,overlap_measure,pearson,,
correlation,C,greedy_iterations,overlap_measure,spearman,,
correlation,C,greedy_iterations,avg_discovered_mus_size,pearson,,
correlation,C,greedy_iterations,avg_discovered_mus_size,spearman,,
correlation,C,greedy_iterations,weight_mean,pearson,,
correlation,C,greedy_iterations,weight_mean,spearman,,
correlation,C,greedy_iterations,weight_variance,pearson,,
correlation,C,greedy_iterations,weight_variance,spearman,,
correlation,C,weight_variance,num_constraints,pearson,0.4147704766061247,
correlation,C,weight_variance,num_constraints,spearman,0.5072104732197795,
correlation,C,weight_variance,conflict_density,pearson,-0.552255717892465,
correlation,C,weight_variance,conflict_density,spearman,-0.5072104732197795,
correlation,C,weight_variance,overlap_measure,pearson,,
correlation,C,weight_variance,overlap_measure,spearman,,
correlation,C,weight_variance,avg_discovered_mus_size,pearson,,
correlation,C,weight_variance,avg_discovered_mus_size,spearman,,
correlation,C,weight_variance,weight_mean,pearson,0.6906673605985947,
correlation,C,weight_variance,weight_mean,spearman,0.566388867830743,
log_log_slope,C,greedy_runtime_sec,num_constraints,log-log linear fit,1.024402334231175,Slope of log runtime against log number of constraints.
log_log_slope,C,exact_runtime_sec,num_constraints,log-log linear fit,0.8655826081002326,Slope of log runtime against log number of constraints.
log_log_slope,C,num_discovered_muses,num_constraints,log-log linear fit,0.0,Slope of log structural count against log number of constraints.
log_log_slope,C,greedy_iterations,num_constraints,log-log linear fit,0.0,Slope of log structural count against log number of constraints.
constant_ratio_check,C,approximation_ratio,all_features,variance check,0.0,"Approximation ratio has zero variance, so ratio correlations are not meaningful."
